request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_41,12885150.5,affordable_with_plan,partial_payment,2025-11-03:12885150.5|2025-12-15:25874849.5,2025-12-15,none,"Because your current balance (IDR 50,175,850) is above the minimum required (IDR 25,366,600) and you have a safe amount of IDR 12,885,150.50, the requested payment of IDR 38,760,000 is affordable with a plan. The recommended partial-payment plan is IDR 12,885,150.5 on 2025-11-03 and the remaining IDR 25,874,849.5 on 2025-12-15, which is also the earliest date for full payment."
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100.0,2026-01-05,none,"Your current balance of INR 261,765 exceeds the required minimum of INR 113,100, so you can comfortably make the full payment of INR 52,100 on the earliest date, 2026-01-05, using the full_payment method. After this payment you will still meet the minimum balance and no spending changes are needed."
request_43,9868266.98,affordable_with_plan,partial_payment,2024-09-07:9868266.98|2024-10-15:33470733.02,2024-10-15,none,"You can afford the request by making a partial payment of IDR 9,868,266.98 on 2024-09-07 and covering the remaining IDR 33,470,733.02 on 2024-10-15, which keeps your balance above the required minimum of IDR 21,398,000. Since your current balance is IDR 36,640,750 and no spending changes are needed, the plan is affordable and the earliest date for full payment is 2024-10-15."
request_44,39484.11,affordable_later,wait,2025-03-15:95800.0,2025-03-15,none,"Your current balance of INR 162,290 exceeds the minimum required balance of INR 82,900, but the safe amount you can use today is only INR 39,484.11, which is less than the requested INR 95,800. Therefore, the recommendation is to wait and make the full payment on the earliest feasible date, 2025-03-15, when the amount will be affordable."
request_45,6423770.75,affordable_with_plan,partial_payment,2026-07-06:6423770.75|2026-08-15:15559229.25,2026-08-15,none,"You can afford a partial payment of IDR 6,423,770.75 today, which keeps your balance above the required minimum of IDR 11,149,800.00 and leaves a safe amount of IDR 6,423,770.75 in your account. The payment plan schedules the remaining IDR 15,559,229.25 for full settlement on 2026-08-15, which is the earliest date you can complete the payment without any spending changes."
request_46,49450.0,affordable_with_plan,installments,2024-12-03:25714.0|2024-12-31:25714.0,2024-12-03,none,"Your current balance of INR 202,335.00 comfortably exceeds the required minimum of INR 84,000.00, so you can afford the requested INR 49,450.00. The recommendation is to pay this amount in two installments of INR 25,714.00 each on 2024-12-03 and 2024-12-31, which meets the affordable_with_plan status and requires no changes to your spending."
request_47,29568351.92,not_affordable,not_recommended,none,,none,"Your current balance of IDR 112,924,150 minus the requested IDR 38,114,000 would leave only IDR 29,568,351.92, which falls short of the required minimum balance of IDR 30,049,000, so the payment is not affordable. Because the remaining amount is below the minimum, the recommended payment method is not_recommended. No payment plan or earliest full-payment date is available."
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700.0,2026-07-25,none,"With a current balance of INR 188,065 and a required minimum balance of INR 71,300, you can safely make the full payment of INR 45,700 today, leaving enough funds above the minimum. The recommended full-payment date is 2026-07-25, and no spending changes are needed."
request_49,15185499.26,affordable_with_plan,partial_payment,2024-03-04:15185499.26|2024-04-15:19147500.74,2024-04-15,none,"Pay IDR 15,185,499.26 today and the remaining IDR 19,147,500.74 on 2024-04-15. This protects the IDR 20,275,700.00 minimum balance."
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900.0,2025-08-06,none,"With a current balance of INR 247,325.50 and a required minimum balance of INR 99,700.00, you have enough funds to cover the requested INR 43,900.00 safely. The recommendation is to make a full payment of INR 43,900.00 on the earliest possible date, 2025-08-06, which is affordable now and requires no spending changes."
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000.0,2026-01-03,none,"Pay IDR 2,191,000.00 today. This leaves at least IDR 7,811,000.00 available over the next 90 days."
request_52,26530.0,affordable_later,wait,2024-06-15:28870.0,2024-06-15,none,"Your current balance of INR 75,320 exceeds the required minimum of INR 41,500, but the safe amount you can spend today is only INR 26,530, which is less than the requested INR 28,870. Therefore you should wait until the earliest full-payment date of 2024-06-15, when the payment of INR 28,870 can be made. No spending changes are needed in the meantime."
request_53,714.42,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-12-15,none,"Use the recommended installment plan (2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06). This keeps the USD 2,100.00 minimum balance protected."
request_54,6043.95,not_affordable,not_recommended,none,,none,"Your current balance of ZAR 53,581.40 is well below the requested ZAR 121,528.00 and, after keeping the required minimum of ZAR 37,000.00, only ZAR 6,043.95 is considered safe to use today, so the payment is marked **not_affordable** and the recommended payment method is **not_recommended**. Because there is no payment plan, earliest full-payment date, or spending changes identified, the recommendation is to refrain from attempting the payment at this time."
request_55,133129.17,affordable_with_plan,partial_payment,2026-06-08:133129.17|2026-06-15:85470.83,2026-06-15,none,"You can afford the requested INR 218,600.00 by making a partial payment: INR 133,129.17 on 2026-06-08 and the remaining INR 85,470.83 on 2026-06-15, which keeps your balance above the required minimum of INR 124,300.00 (your safe amount today is INR 133,129.17). This plan meets the affordable_with_plan status and requires no changes to your spending."
request_56,678.32,affordable_with_plan,partial_payment,2025-02-03:678.32|2025-02-15:203.24,2025-02-15,none,"Pay USD 678.32 today and the remaining USD 203.24 on 2025-02-15. This protects the USD 2,100.00 minimum balance."
request_57,14724.02,affordable_with_plan,partial_payment,2026-04-05:14724.02|2026-05-15:46721.98,2026-05-15,none,"You can meet the ZAR 61,446.00 request with a partial-payment plan: pay ZAR 14,724.02 on 2026-04-05 and the remaining ZAR 46,721.98 on 2026-05-15, which keeps your balance above the required ZAR 42,700.00 minimum. This schedule is marked as affordable with the plan, and no changes to your spending are needed."
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000.0,2024-12-07,none,"Pay IDR 16,226,000.00 today. This leaves at least IDR 14,433,900.00 available over the next 90 days."
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"You can afford the INR 140,600.00 request because after keeping the required minimum balance of INR 132,600.00, the safe amount available today is exactly INR 140,600.00, so the recommendation is to pay in three equal installments of INR 48,741.33 on 2025-05-07, 2025-06-04 and 2025-07-02, with the earliest possible full-payment date of 2025-05-04. No changes to your spending are needed."
request_60,171.61,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,"Your current balance is $683.69, but you need to keep at least $400.00, leaving a safe amount of $171.61 today, which is less than the requested $199.89. Because you cannot cover the payment now while maintaining the minimum balance, the recommendation is to wait and make the full payment on the earliest possible date, 2026-01-15. No spending changes are required."
request_61,29062.0,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use the recommended installment plan (2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83). This keeps the ZAR 36,700.00 minimum balance protected."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"You have a current balance of USD 5,151.44 and need to keep at least USD 1,300.00, leaving enough to cover the requested USD 404.23 safely today. Because the safe amount equals the requested amount, the recommendation is to make a full payment of USD 404.23 on the earliest possible date, 2025-08-05, and no changes to your spending are required."
request_63,50402.38,affordable_with_plan,partial_payment,2026-07-07:50402.38|2026-09-15:293497.62,2026-09-15,none,"You can make a partial payment of INR 50,402.38 today, which keeps your balance above the required minimum of INR 153,500.00, and then complete the full payment of the remaining amount on the earliest full-payment date, 2026-09-15. This plan is affordable with the given payment schedule (2026-07-07: 50,402.38 and 2026-09-15: 293,497.62)."
request_64,0,not_affordable,not_recommended,none,,none,"Your current balance of INR 98,573.01 minus the required minimum balance of INR 36,100.00 leaves INR 62,473.01 available, which is less than the requested payment of INR 63,700.00, so the payment is not affordable and the recommended payment method is not recommended. No safe amount is available today, and there is no payment plan or earliest full-payment date provided."
request_65,7682.55,not_affordable,not_recommended,none,,none,"Do not proceed with this request now. None of the available options keeps the ZAR 15,500.00 minimum protected."
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200.0,2026-04-03,none,"Your current balance of INR 302,520.00 comfortably exceeds the minimum required balance of INR 80,700.00, so you can make the full payment of INR 22,200.00 on the earliest allowed date, 2026-04-03, and still retain a safe amount of INR 22,200.00 with no spending changes needed."
request_67,530.94,affordable_later,wait,2024-10-15:2094.0,2024-10-15,none,"Pay USD 2,094.00 in full on 2024-10-15. Paying earlier would take the balance below the USD 1,200.00 minimum."
request_68,1492.84,affordable_with_plan,partial_payment,2025-02-07:1492.84|2025-02-15:598.76,2025-02-15,none,"You can afford a partial payment: pay USD 1,492.84 on 2025-02-07 and the remaining USD 598.76 on 2025-02-15, which together cover the requested USD 2,091.60 while keeping your balance above the USD 1,500 minimum. This plan uses the safe amount of USD 1,492.84 available today and requires no spending changes."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Pay EUR 529.10 today. This leaves at least EUR 700.00 available over the next 90 days.
request_70,53090.31,affordable_later,wait,2025-01-15:243900.0,2025-01-15,none,"Pay INR 243,900.00 in full on 2025-01-15. Paying earlier would take the balance below the INR 115,000.00 minimum."
request_71,80195.12,not_affordable,not_recommended,none,,none,"Your current balance of IDR 16,369,850 is well below the requested amount of IDR 21,451,000, and after keeping the required minimum balance of IDR 8,884,800 you would not have enough funds, making the payment not affordable. The safe amount you could use today is only IDR 80,195.12, and the recommended payment method is marked as not_recommended, with no payment plan or earliest full-payment date available. Therefore, the request cannot be approved."
request_72,11330.0,affordable_now,full_payment,2026-07-05:11330.0,2026-07-05,none,"You can make the full payment of ZAR 11,330 on 2026-07-05 because your current balance of ZAR 30,337.13 will remain above the required minimum of ZAR 12,200 (leaving ZAR 19,007.13 after the payment). The affordability status is affordable_now, and no spending changes are needed."
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400.0,2023-01-20,none,"Your current balance of INR 278,542.50 exceeds the required minimum of INR 103,200.00, leaving enough to cover the requested and safe amount of INR 71,400.00. Consequently, a full payment on the earliest date, 2023-01-20, is affordable now with no spending changes needed."
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010.0,2025-08-04,none,"Pay ZAR 5,010.00 today. This leaves at least ZAR 21,900.00 available over the next 90 days."
request_75,28270.0,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Since you have ZAR 145,867.87 and must keep at least ZAR 39,000, the safe amount you can spend today is ZAR 28,270, which matches the requested amount. Because this is affordable with a plan, you should pay it in three installments of ZAR 9,800.27 on 2026-04-09, 2026-05-09 and 2026-06-08, with the earliest full-payment date of 2026-04-06 and no spending changes needed."
request_76,1117.02,affordable_with_plan,partial_payment,2024-06-03:1117.02|2024-07-15:3338.58,2024-07-15,none,"Pay USD 1,117.02 today and the remaining USD 3,338.58 on 2024-07-15. This protects the USD 1,800.00 minimum balance."
request_77,60700.0,affordable_now,full_payment,2025-11-05:60700.0,2025-11-05,none,"Your current balance of INR 189,860.50 exceeds the required minimum balance of INR 82,200.00, leaving a safe amount of INR 60,700.00 that can be used for the requested payment. Because this safe amount matches the requested INR 60,700.00, the recommendation is to make a full payment on the earliest possible date, 2025-11-05."
request_78,44974.46,affordable_later,wait,2025-10-15:50200.0,2025-10-15,none,"Pay INR 50,200.00 in full on 2025-10-15. Paying earlier would take the balance below the INR 55,200.00 minimum."
request_79,856.13,not_affordable,not_recommended,none,2024-11-15,none,"Do not proceed with this request now. None of the available options keeps the EUR 1,000.00 minimum protected."
request_80,112679.05,not_affordable,not_recommended,none,2025-02-15,none,"Do not proceed with this request now. None of the available options keeps the INR 121,300.00 minimum protected."
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076.0,2026-07-03,none,"You have a current balance of USD 5,028.25 and must keep at least USD 1,600.00, leaving enough to cover the requested USD 2,076.00 payment, which is marked as affordable now. The recommendation is to make the full payment of USD 2,076.00 on 2026-07-03, with no spending changes needed."
request_82,420.45,affordable_later,wait,2025-01-15:1405.2,2025-01-15,none,"You currently have USD 2,202.40, but after keeping the required minimum balance of USD 1,100.00 only USD 420.45 is safely available today, which is far short of the USD 1,405.20 you need to pay. Because the payment is affordable later, the recommendation is to wait and make the full payment on the earliest possible date, 2025-01-15."
request_83,7767.06,not_affordable,not_recommended,none,,none,"Do not proceed with this request now. None of the available options keeps the INR 37,800.00 minimum protected."
request_84,30545.78,affordable_with_plan,partial_payment,2026-04-04:30545.78|2026-05-15:64854.22,2026-05-15,none,"You can make a partial payment of INR 30,545.78 on 2026-04-04, which matches the safe amount you have today, and then pay the remaining INR 64,854.22 on 2026-05-15, the earliest date for the full payment, while keeping your balance above the required minimum of INR 91,300.00. No changes to your spending are needed."
request_85,1709355.07,not_affordable,not_recommended,none,,none,"Your current balance is IDR 8,818,420, but you must keep at least IDR 6,396,300, leaving only IDR 1,709,355.07 as a safe amount today, which is far below the requested payment of IDR 19,304,000. Because the payment would leave you unaffordable and the recommended method is not_recommended, it is not advisable to proceed."
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300.0,2025-08-03,none,"Your current balance of INR 228,639.50 comfortably exceeds the required minimum balance of INR 84,900.00, leaving enough to cover the requested INR 46,300.00, which is also the safe amount for today. Therefore, a full payment of INR 46,300.00 on the earliest possible date, 2025-08-03, is affordable now with no spending changes needed."
request_87,37161.76,not_affordable,not_recommended,none,,none,"Do not proceed with this request now. None of the available options keeps the INR 185,900.00 minimum protected."
request_88,11959.79,affordable_with_plan,partial_payment,2024-06-07:11959.79|2024-06-15:14132.21,2024-06-15,none,"Your current balance of ZAR 41,357.89 exceeds the required minimum of ZAR 25,800, so you can cover the requested ZAR 26,092 by using the safe amount of ZAR 11,959.79 today and completing the payment with a partial-payment plan of ZAR 11,959.79 on 2024-06-07 and ZAR 14,132.21 on 2024-06-15, with the earliest date for the full amount being 2024-06-15. This plan is marked as affordable_with_plan, and no spending changes are needed."
request_89,10629965.61,affordable_with_plan,partial_payment,2025-11-04:10629965.61|2025-11-15:3126034.39,2025-11-15,none,"Pay IDR 10,629,965.61 today and the remaining IDR 3,126,034.39 on 2025-11-15. This protects the IDR 12,534,700.00 minimum balance."
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560.0,2026-07-06,none,"Pay ZAR 2,560.00 today. This leaves at least ZAR 7,600.00 available over the next 90 days."
request_91,605.72,affordable_later,wait,2024-11-15:1927.2,2024-11-15,none,"Pay EUR 1,927.20 in full on 2024-11-15. Paying earlier would take the balance below the EUR 2,100.00 minimum."
request_92,34034.0,affordable_now,full_payment,2025-02-05:34034.0,2025-02-05,none,"You have a current balance of ZAR 78,664.47 and must retain a minimum of ZAR 28,100, leaving a safe amount of ZAR 34,034, which matches the requested payment. Because this amount is affordable now, the recommendation is to make a full payment of ZAR 34,034 on the earliest possible date, 2025-02-05. No spending changes are needed."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,"Your current balance of $3,962.10 exceeds the required minimum of $1,900.00, leaving a safe amount of $1,729.20, which exactly matches the requested payment. Because the payment is affordable now, you can make the full payment of $1,729.20 on 2026-04-07, and no changes to your spending are needed."
request_94,572.0,affordable_now,full_payment,2024-12-04:572.0,2024-12-04,none,"Your current balance of €2,663.60 exceeds the required minimum of €600.00, so the requested payment of €572.00 is affordable today and can be made in full. The recommended payment method is a full payment on 2024-12-04, with no spending changes needed."
request_95,59625.17,not_affordable,not_recommended,none,,none,"Your current balance of INR 283,365 must retain a minimum of INR 145,500, leaving only INR 137,865 available, which is far below the requested INR 553,000. Because the safe amount today is INR 59,625.17 and the affordability status is not_affordable, the payment method is marked not_recommended."
request_96,78958.69,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-15,none,"Use the recommended installment plan (2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33). This keeps the INR 56,500.00 minimum balance protected."
request_97,2929.44,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use the recommended installment plan (2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28). This keeps the ZAR 29,700.00 minimum balance protected."
request_98,13269.18,affordable_later,wait,2025-08-15:27148.0,2025-08-15,none,"You currently have ZAR 47,244.70, but you must keep at least ZAR 30,000, leaving a safe amount of ZAR 13,269.18, which is well below the requested payment of ZAR 27,148.00. Because the payment is not affordable now, the recommendation is to wait and make the full payment on the earliest possible date, 2025-08-15."
request_99,18062.0,affordable_now,full_payment,2026-07-04:18062.0,2026-07-04,none,"Your current balance of ZAR 86,706.58 exceeds the minimum required balance of ZAR 49,100.00, so you can safely pay the full requested amount of ZAR 18,062.00 today, which matches the safe amount and is marked as affordable now. The earliest date you can make this full payment is 2026-07-04, as shown in the payment plan."
request_100,27265.06,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"Your current balance of ZAR 68,363.53 is well above the minimum required balance of ZAR 32,500, and the requested amount of ZAR 37,114 can be covered safely because you still have a safe amount of ZAR 27,265.06 left after the payment. The plan recommends paying the amount in three equal installments of ZAR 12,866.19 on 2024-06-13, 2024-07-14, and 2024-08-14, which keeps you affordable with the plan and requires no changes to your spending. The earliest you could make a full payment, if you chose to, would be 2024-06-15."
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500.0,2025-11-03,none,"You can make the full payment of INR 143,500 on 2025-11-03 because after deducting this amount from your current balance of INR 465,868.50 you will still have INR 322,368.50, which is well above the required minimum balance of INR 187,400.00, so the payment is affordable now with no spending changes needed."
request_102,1716.0,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,Use the recommended installment plan (2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88). This keeps the EUR 900.00 minimum balance protected.
request_103,21711.66,not_affordable,not_recommended,none,,none,"Your current balance of INR 168,749.00 leaves only INR 21,711.66 as a safe amount after maintaining the required minimum balance of INR 125,500.00, which is far below the requested payment of INR 368,300.00, so the payment method is not recommended and the amount is not affordable."
request_104,17204.0,affordable_now,full_payment,2025-02-04:17204.0,2025-02-04,none,"You can make the full payment of ZAR 17,204 on 2025-02-04 because after deducting it from your current balance of ZAR 64,021.70 you will still have ZAR 46,817.70, which is well above the required minimum balance of ZAR 24,700. No changes to your spending are needed, and the payment is affordable today."
request_105,52605.49,affordable_with_plan,full_payment,2026-06-08:53500.0,2026-06-15,reduce_to:event_9720:1632.0,"Do not proceed with this request now. None of the available options keeps the INR 73,900.00 minimum protected."
request_106,1064.54,affordable_later,wait,2025-01-15:2207.7,2025-01-15,none,"Pay EUR 2,207.70 in full on 2025-01-15. Paying earlier would take the balance below the EUR 1,200.00 minimum."
request_107,0,not_affordable,not_recommended,none,,none,"Your current balance is €5,054.52, and you must keep at least €1,600.00 in the account. Paying the requested €2,534.40 would leave you with less than the required minimum, so the payment is marked as not affordable and the recommended method is not recommended. Consequently, no payment plan or earliest full-payment date can be provided."
request_108,1160.49,affordable_later,wait,2026-09-15:55308.0,2026-09-15,none,"You currently have ZAR 31,936.40, which is above the required minimum balance of ZAR 24,100.00 and the safe amount of ZAR 1,160.49, but it is not enough to cover the requested payment of ZAR 55,308.00 today. Because the affordability status is affordable_later, the recommendation is to wait until the earliest full-payment date of 2026-09-15, when the payment of ZAR 55,308.00 can be made."
request_109,673.81,affordable_with_plan,partial_payment,2024-03-04:673.81|2024-04-15:1189.59,2024-04-15,none,"Pay EUR 673.81 today and the remaining EUR 1,189.59 on 2024-04-15. This protects the EUR 1,700.00 minimum balance."
request_110,22352.0,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"You can afford the ZAR 22,352.00 request because after keeping the required minimum balance of ZAR 11,200.00 you will still have enough funds, and the plan spreads the payment into three equal installments of ZAR 7,748.69 on 2025-08-06, 2025-09-03 and 2025-10-01. The earliest you could pay the full amount is 2025-08-06, and no changes to your spending are needed."
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000.0,2026-04-03,none,"Your current balance of IDR 85,204,860 exceeds the required minimum of IDR 23,022,800, so paying the requested IDR 16,625,000 in full will still leave you well above the minimum. Therefore, the recommendation is to make a full payment of IDR 16,625,000 on the earliest possible date, 2026-04-03."
request_112,271.7,affordable_now,full_payment,2024-06-05:271.7,2024-06-05,none,Pay EUR 271.70 today. This leaves at least EUR 500.00 available over the next 90 days.
request_113,29948.3,affordable_later,wait,2026-09-15:36500.0,2026-09-15,none,"Pay INR 36,500.00 in full on 2026-09-15. Paying earlier would take the balance below the INR 82,300.00 minimum."
request_114,65300.0,affordable_now,full_payment,2026-01-04:65300.0,2026-01-04,none,"Your current balance of INR 219,230 exceeds the required minimum balance of INR 113,400, leaving a safe amount of INR 65,300 that can be used for the requested payment. Because this safe amount matches the requested INR 65,300, you can make a full payment on the earliest possible date, 2026-01-04, with no changes to your spending needed. This payment is marked as affordable now."
request_115,16371.71,affordable_later,wait,2024-10-15:80500.0,2024-10-15,none,"Pay INR 80,500.00 in full on 2024-10-15. Paying earlier would take the balance below the INR 38,800.00 minimum."
request_116,18662.55,not_affordable,not_recommended,none,,none,"Your current balance of INR 138,375 is well below the INR 241,200 needed for the request, and after keeping the required minimum balance of INR 80,300 you would only have a safe amount of INR 18,662.55 left, so the payment is not affordable and the recommended method is not recommended. Because there is no payment plan, earliest full-payment date, or spending changes identified, you cannot meet the request at this time."
request_117,880.0,affordable_now,full_payment,2026-07-05:880.0,2026-07-05,none,"Your current balance of €2,164.20 exceeds the €1,000 minimum, so you can safely make the full €880 payment today. The recommendation is to use the full_payment method on the earliest date, 2026-07-05, and no spending changes are needed. This keeps your balance above the required minimum after the payment."
request_118,648.18,affordable_with_plan,partial_payment,2024-12-07:648.18|2024-12-15:89.92,2024-12-15,none,Pay EUR 648.18 today and the remaining EUR 89.92 on 2024-12-15. This protects the EUR 600.00 minimum balance.
request_119,70146.78,affordable_with_plan,partial_payment,2025-05-04:70146.78|2025-06-15:133353.22,2025-06-15,none,"Pay INR 70,146.78 today and the remaining INR 133,353.22 on 2025-06-15. This protects the INR 151,200.00 minimum balance."
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000.0,2026-04-06,none,"Your current balance of IDR 31,748,980 exceeds the minimum required balance of IDR 20,050,300, leaving enough to cover the requested amount of IDR 7,714,000. Because the amount is affordable now, you can make a full payment of IDR 7,714,000 on the earliest date, 2026-04-06, with no spending changes needed."
